RSOInterestsId,RSOname,RSOInterest1,RSOInterest2,RSOInterest3
991,The Hemp Club,Advocacy & Activism,Agricultural,Health & Wellness
992,The Hoeft Technology and Management Program Student Organization,Business,Community Service & Philanthropy,Technology
993,The Illini Metagamers,Athletic & Recreation,Social & Leisure,NA
994,The Illini Swing Society,Athletic & Recreation,Identity & Culture,Performance Arts
995,The Illinois Alt. Protein Project,Environmental & Sustainability,NA,NA
996,The Illinois Student Undergraduate Research Journal,Education,Pedagogy & Instruction,NA
997,The Kat Walk,Performance Arts,NA,NA
998,The King’s Guard,Advocacy & Activism,Social & Leisure,NA
999,The Latine Social Work Organization,Advocacy & Activism,Identity & Culture,Social & Behavioral Sciences
1000,The National Organization of Minority Architecture Students,Advocacy & Activism,Community Service & Philanthropy,Social & Leisure
1001,The National Society of Pershing Rifles,Athletic & Recreation,Community Service & Philanthropy,Veteran & Military Connected
1002,The Ortelian Society,Advocacy & Activism,Ideology & Politics,Law
1003,The Other Guys,Performance Arts,NA,NA
1004,The Phoenix Improv Company,Performance Arts,NA,NA
1005,The Prancing Pearls,Performance Arts,NA,NA
1006,The Red Shoe Foundation,Advocacy & Activism,Community Service & Philanthropy,NA
1007,The Resurrected Poets Society International,International,NA,NA
1008,The Scholarly Reading Circle For Economics at UIUC,Environmental & Sustainability,Ideology & Politics,Law
1009,The Slavic Graduate Student Association,Humanities,NA,NA
1010,The Society of Art History and Fine Arts ( SAHFA ),Education,Pedagogy & Instruction,NA
1011,The SODA,Advocacy & Activism,NA,NA
1012,The Student Chapter of the American Holistic Veterinary Medicine Association at the University of Illinois,Veterinary,NA,NA
1013,The What You Will Shakespeare Company,Performance Arts,NA,NA
1014,"The Wildlife Society, University of Illinois at Urbana-Champaign Student Chapter",Community Service & Philanthropy,Environmental & Sustainability,NA
1015,THE5H4N Club,Advocacy & Activism,Business,Community Service & Philanthropy
1016,Themed Entertainment Association at University of Illinois Urbana-Champaign,Social & Leisure,Technology,Engineering & Mathematics
1017,Theta Tau Professional Engineering Fraternity,NA,NA,NA
1018,Theta Xi Fraternity,Athletic & Recreation,Community Service & Philanthropy,Education
1019,Thomistic Institute at University of Illinois at Urbana-Champaign,NA,NA,NA
1020,Thrive Together,Community Service & Philanthropy,Education,Pedagogy & Instruction
1021,Timothy Bible Fellowship,Faith,Religion & Spirituality,NA
1022,Track and Field Club,Athletic & Recreation,NA,NA
1023,Traders at Illinois,Information & Data Sciences,Technology,Engineering & Mathematics
1024,Transportation and Development Institute Graduate Student Organization,Technology,Engineering & Mathematics,NA
1025,Traveling Illini,Athletic & Recreation,NA,NA
1026,Triangle Fraternity,Community Service & Philanthropy,Social & Leisure,Social Fraternities & Sororities
1027,True Vine,Faith,Religion & Spirituality,NA
1028,TRUTH AND BEAUTY,Performance Arts,NA,NA
1029,Turkish Student Association,International,Social & Leisure,NA
1030,Turning Point USA,Ideology & Politics,NA,NA
1031,TVC College,Faith,Religion & Spirituality,NA
1032,Twin City Bible Church Students Organization,Faith,Religion & Spirituality,NA
1033,Tzu Chi Collegiate Association,NA,NA,NA
1034,Udaan,Identity & Culture,Performance Arts,NA
1035,UIUC Contract Bridge,Information & Data Sciences,Social & Leisure,NA
1036,UIUC Fataaka,Identity & Culture,Performance Arts,Social & Leisure
1037,Ukrainian Student Association,Identity & Culture,NA,NA
1038,Undergraduate History Journal at Illinois,NA,NA,NA
1039,Undergraduate Law Review at the University of Illinois at Urbana-Champaign,Law,NA,NA
1040,Undergraduate Neuroscience Society,Health & Wellness,Life & Physical Sciences,Social & Behavioral Sciences
1041,Undergraduate Pre-PhD Society,Education,Pedagogy & Instruction,Life & Physical Sciences
1042,Undergraduate Psychology Association,Social & Behavioral Sciences,NA,NA
1043,Undergraduate Research in Scientific Advancement,Life & Physical Sciences,Technology,Engineering & Mathematics
1044,UNICEF at UIUC,Advocacy & Activism,Community Service & Philanthropy,NA
1045,United Greek Council,Community Service & Philanthropy,Identity & Culture,Social & Leisure
1046,University YMCA Student Board,Community Service & Philanthropy,NA,NA
